produk_id,nama_produk,kategori,tanaman_target,fase_aplikasi,hama_penyakit,media_tanam,dosis_pemakaian,keyword,deskripsi,harga,stok,created at
1,Herbisida Topzone,Herbisida,"Padi, Jagung, Kelapa Sawit, Kopi","Pra Tanam, Persiapan Lahan, Pasca Tumbuh Gulma","Gulma Daun Lebar, Gulma Daun Sempit, Rumput Liar, Teki-Tekian","Sawah, Kebun, Perkebunan, Lahan Kering","Dosis umum:
1.5 – 3 liter per hektar

Volume air:
200 – 400 liter air per hektar

Gulma ringan:
1.5 liter per hektar

Gulma sedang:
2 liter per hektar

Gulma lebat:
3 liter per hektar

Waktu aplikasi:
Saat gulma aktif tumbuh dan memiliki daun yang cukup untuk terkena semprotan.","herbisida rumput,
obat rumput liar,
obat gulma,
pembasmi gulma,
racun rumput,
obat teki,
obat teki-tekian,
obat rumput sawah,
obat rumput jagung,
obat rumput sawit,
obat rumput kopi,
gulma daun lebar,
gulma daun sempit,
rumput liar,
rumput bandel,
gulma kebun,
pembersih lahan,
persiapan lahan tanam,
herbisida kontak,
sistem tanpa olah tanah,","Topzone 276 SL merupakan herbisida kontak berbahan aktif parakuat diklorida 276 g/L yang digunakan untuk membasmi gulma dan rumput liar pada lahan pertanian maupun perkebunan.

Produk ini efektif digunakan sebagai pembasmi gulma daun lebar, gulma daun sempit, rumput liar, dan teki-tekian pada lahan padi, jagung, kelapa sawit, dan kopi.

Gejala yang dapat ditangani antara lain lahan ditumbuhi rumput liar, gulma mengganggu pertumbuhan tanaman, rumput bandel di kebun, serta kebutuhan pembersihan lahan sebelum tanam.

Topzone 276 SL bekerja cepat pada bagian gulma yang terkena semprotan sehingga cocok digunakan untuk sistem tanpa olah tanah dan persiapan lahan tanam.",Rp.80.000,stok,03/05/2026 23:10:07
2,Roundap Herbisida,Herbisida,"Padi, Jagung, Kelapa Sawit, Kopi","Pra Tanam, Persiapan Lahan, Pasca Tumbuh Gulma","Gulma Daun Lebar, Gulma Daun Sempit, Rumput Liar, Teki-Tekian","Sawah, Kebun, Perkebunan, Lahan Kosong","Dosis semprot:
12 – 15 ml per liter air

Dosis lapangan:
4 – 10 liter per hektar

Volume air:
200 – 400 liter per hektar

Gulma ringan:
4 – 6 liter per hektar

Gulma lebat:
8 – 10 liter per hektar","obat rumput sampai akar,
pembasmi gulma sampai akar,
obat rumput liar,
obat gulma sawah,
obat gulma kebun,
obat teki,
obat rumput bandel,
racun rumput,
herbisida sistemik,
rumput tidak mati,
rumput tumbuh lagi,
membersihkan lahan,
persiapan tanam,
obat gulma sawit,
obat gulma kopi,
obat gulma jagung,
obat gulma padi,
gulma daun lebar,
gulma daun sempit","Roundup merupakan herbisida sistemik berbahan aktif glifosat yang digunakan untuk membasmi gulma hingga ke akar.

Produk ini efektif digunakan untuk mengendalikan gulma daun lebar, gulma daun sempit, rumput liar, dan teki-tekian pada lahan pertanian maupun perkebunan.

Cocok digunakan untuk persiapan lahan padi, jagung, kelapa sawit, kopi, serta pembersihan lahan kosong sebelum tanam.

Gejala yang dapat ditangani antara lain rumput liar yang sulit mati, gulma tumbuh kembali setelah dibersihkan, teki-tekian yang menyebar luas, dan lahan yang dipenuhi gulma.

Roundup bekerja secara sistemik sehingga diserap melalui daun dan diteruskan hingga ke akar untuk membunuh gulma secara menyeluruh.",Rp.90.000,20,03/05/2026 23:16:09
3,"Healthy, Fungisida anti busuk daun dan patek",Fungisida,"Cabai, Tomat, Terong, Padi, Semangka, Melon, Timun, Sayuran","Awal Vegetatif, Vegetatif","Busuk Daun, Patek, Hawar Daun, Jamur Daun","Tanah, Sawah, Lahan Terbuka","untuk tanaman cabe, tomat, terong 1-3ml/L dengan volume semprot 500 Liter air /Ha waktu pengaplikasian 2 minggu setelah tanam.","fungisida busuk daun,
obat busuk daun,
anti busuk daun,
obat patek,
fungisida patek,
anti patek cabai,
obat bercak daun,
fungisida bercak daun,
obat jamur tanaman,
fungisida jamur daun,
obat daun menghitam,
obat daun bercak coklat,
obat penyakit daun,
fungisida cabai,
fungisida tomat,
fungisida terong,
fungisida padi,
fungisida semangka,
fungisida melon,
fungisida timun,
obat hawar daun,
pengendali penyakit jamur,
pengendali busuk daun","Healthy merupakan fungisida berbahan aktif tembaga dan cymoxanil yang digunakan untuk mengendalikan penyakit busuk daun, patek, bercak daun, hawar daun, dan penyakit akibat jamur pada tanaman cabai, tomat, terong, padi, semangka, melon, timun, dan berbagai jenis sayuran.
Produk ini cocok digunakan sebagai fungisida busuk daun, obat patek cabai, anti busuk daun tomat, pengendali penyakit jamur daun, serta pencegah penyebaran penyakit pada fase awal pertumbuhan tanaman.
Gejala yang dapat dikendalikan antara lain daun bercak coklat, daun menghitam, daun menguning akibat jamur, patek pada buah cabai, busuk daun pada tomat, dan penyakit daun pada tanaman hortikultura.
Cocok diaplikasikan mulai dua minggu setelah tanam pada fase vegetatif untuk mencegah dan mengendalikan infeksi jamur.
Dosis aplikasi cabai, tomat, dan terong 1 sampai 3 ml per liter air. Dosis aplikasi padi, semangka, melon, timun, dan sayuran 1 sampai 2 ml per liter air.",Rp.35.000,30,06/04/2026 14:01:11
4,Dorum - Deltagro,Fungisida,"Cabai, Kentang, Jagung, Padi","Vegetatif, Generatif, Pencegahan Penyakit","Antraknosa, Patek, Bercak Coklat, Hawar Daun, Karat Daun, Busuk Daun","Sawah, Lahan Terbuka, Tanah","0,5ml/L dengan penyemprotan volume tinggi. waktu aplikasi sebelum ada gejala serangan penyakit dan diulang 1 minggu sekali","fungisida antraknosa,
fungisida patek,
obat patek cabai,
obat antraknosa cabai,
anti patek,
anti antraknosa,
obat bercak coklat,
fungisida bercak coklat,
obat hawar daun,
fungisida hawar daun,
obat karat daun,
fungisida karat daun,
obat busuk daun,
fungisida busuk daun,
penyakit daun jagung,
penyakit daun padi,
bercak daun padi,
bercak daun kentang,
jamur tanaman,
obat jamur tanaman,
fungisida sistemik,
zpt tanaman,
perangsang pertumbuhan tanaman","Dorum 350 SC merupakan fungisida sistemik berbahan aktif azoksistrobin 350 g/L yang digunakan untuk mengendalikan penyakit jamur pada tanaman cabai, kentang, jagung, dan padi.
Produk ini efektif sebagai fungisida antraknosa, fungisida patek, fungisida bercak coklat, fungisida hawar daun, fungisida karat daun, dan fungisida busuk daun.
Dapat digunakan untuk mengatasi penyakit patek pada cabai, bercak coklat pada kentang dan padi, hawar daun pada jagung dan padi, karat daun pada jagung, serta busuk daun akibat infeksi jamur.
Selain sebagai fungisida, Dorum 350 SC memiliki efek zat pengatur tumbuh yang membantu meningkatkan pertumbuhan tanaman, memperbaiki kesehatan tanaman, meningkatkan kualitas hasil panen, dan menambah bobot panen.
Aplikasi dilakukan sebelum muncul gejala penyakit sebagai tindakan pencegahan maupun saat gejala awal serangan penyakit muncul. Dosis penggunaan 0.5 ml per liter air dengan interval aplikasi 7 hari.",Rp.60.000,5,06/04/2026 21:08:05
5,Rootone-F - Spesialis peningkat bobot - ZPT Organik,Fungisida,"Bawang Merah, Bawang Putih, Cabai, Jagung, Jeruk, Kacang Panjang, Kedelai, Kelapa Sawit, Kentang, Mangga, Padi, Semangka, Tembakau, Tomat, Apel","Vegetatif, Generatif","Bercak Ungu, Bercak Daun, Hawar Daun, Embun Tepung, Penyakit Tepung, Karat Daun, Bercak Kering, Antraknosa, Busuk Batang, Hawar Pelepah, Blas, Busuk Buah, Busuk Daun","Sawah, Kebun, Tanah, Lahan Terbuka","Untuk tanaman berumur 6 bulan: Kurang lebih 50mg/stump
Untuk tanaman berumur 12 bulan: Kurang lebih 100mg/stump
Untuk tanaman berumur 18 bulan: Kurang lebih 150mg/stump
Untuk tanaman berumur 24 bulan: Kurang lebih 200mg/stump
Untuk tanaman berumur 36 bulan: Kurang lebih 300mg/stump",,,Rp.56.000,10,06/04/2026 21:17:45
6,Scoore 250 EC - Fungisida,Fungisida,"Bawang Merah, Bawang Putih, Cabai, Jagung, Jeruk, Kacang Panjang, Kedelai, Kelapa Sawit, Kentang, Mangga, Padi, Semangka, Tembakau, Tomat, Apel","Vegetatif, Generatif","Bercak Ungu, Bercak Daun, Hawar Daun, Embun Tepung, Penyakit Tepung, Karat Daun, Bercak Kering, Antraknosa, Busuk Batang, Hawar Pelepah, Blas, Busuk Buah, Busuk Daun","Sawah, Kebun, Tanah, Lahan Terbuka","Dosis Pemakaian Score 250 EC
Apel : penyakit tepung Phodopshaera leucotricha (Penyemprotan volume tinggi : 5 – 10 ml/100 l)
Bawang merah : penyakit bercak ungu Alternaria porri (Penyemprotan volume tinggi : 0,25 – 0,5 ml/l)
Bawang putih : penyakit bercak ungu Alternaria porri (Penyemprotan volume tinggi : 0,4 – 0,8 ml/l)
Cabai : penyakit bercak daun Cercospora capsici (Penyemprotan volume tinggi : 0,25 – 0,5 ml/l)
Jagung : penyakit hawar daun Helminthosporium turcicum (Penyemprotan volume tinggi : 0,25 – 0,50 ml/l)
Jarak Pagar : penyakit embun tepung Oidium sp. (Penyemprotan volume tinggi : 0,75 – 1 ml/l)
Jeruk : penyakit tepung Oidium sp. (Penyemprotan volume tinggi : 0,5 – 1 ml/l)
Kacang panjang : penyakit bercak daun Cercospora sp., penyakit karat daun Uromyces sp. (Penyemprotan volume tinggi : 0,5 – 1 ml/l)
Kedelai : penyakit bercak kering Cercospora sp. (Penyemprotan volume tinggi : 0,25 – 0,50 ml/l)
Kelapa sawit : penyakit daun pembibitan Curvularia maculans, Pestalotiopsis palmarum (Penyemprotan volume tinggi : 1 – 1,5 ml/l)
Kentang : penyakit bercak kering Alternaria solani (Penyemprotan volume tinggi : 0,75 – 1 l/ha)
Mangga : penyakit antraknosa Colletotrichum gloeosporioides, penyakit bercak daun Stigmina mangifarae (Penyemprotan volume tinggi : 0,25 – 0,50 ml/l)
Padi : penyakit busuk batang Helminthosporium sigmoidum, penyakit hawar pelepah Rhizoctonia solani, penyakit bercak daun Cercospora sp. (Penyemprotan volume tinggi : 400 ml/ha)
Padi : penyakit blas Pyricularia oryzae (Penyemprotan volume tinggi : 300 – 480 ml/ha)
Semangka : penyakit bercak daun Cercospora sp. (Penyemprotan volume tinggi : 0,5 – 1 ml/l)
Tembakau : penyakit patik daun Cercospora nicotianae (Penyemprotan volume tinggi : 0,25 – 0,50 ml/l)
Tomat : penyakit bercak kering Alternaria solani (Penyemprotan volume tinggi : 0,5 – 1 ml/l)
Tomat : penyakit busuk Septoria lycopersici (Penyemprotan volume tinggi : 0,25 – 0,5 ml/l)","fungisida bercak daun,
obat bercak daun,
obat daun bercak,
fungisida bercak ungu,
obat bercak ungu,
fungisida hawar daun,
obat hawar daun,
fungisida blas,
obat blas padi,
fungisida antraknosa,
obat antraknosa mangga,
obat patek,
fungisida embun tepung,
obat embun tepung,
fungisida penyakit tepung,
obat karat daun,
fungisida karat daun,
fungisida busuk batang,
obat busuk batang,
fungisida busuk daun,
fungisida busuk tomat,
fungisida sistemik,
obat jamur tanaman,
pengendali penyakit jamur,
zpt tanaman","Score 250 EC merupakan fungisida sistemik berbahan aktif difenokonazol 250 g/L yang digunakan untuk mengendalikan berbagai penyakit jamur pada tanaman hortikultura, perkebunan, dan tanaman pangan.

Produk ini efektif digunakan sebagai fungisida bercak daun, fungisida bercak ungu, fungisida hawar daun, fungisida embun tepung, fungisida antraknosa, fungisida karat daun, fungisida busuk batang, fungisida hawar pelepah, fungisida blas padi, dan fungisida busuk daun.

Dapat digunakan pada tanaman cabai, bawang merah, bawang putih, tomat, kentang, jagung, padi, mangga, semangka, kacang panjang, kedelai, jeruk, apel, kelapa sawit, dan tembakau.

Gejala yang dapat dikendalikan antara lain bercak daun, bercak ungu, daun menguning akibat jamur, hawar daun, embun tepung, karat daun, busuk batang, busuk buah, busuk daun, dan penyakit blas pada padi.

Selain mengendalikan penyakit jamur, Score 250 EC mengandung zat pengatur tumbuh yang membantu meningkatkan kualitas tanaman, memperbaiki kesehatan tanaman, dan meningkatkan hasil panen.",Rp.35.000,5,06/04/2026 21:24:44
7,Sidafos 480 SL – Herbisida Sistemik Pembasmi Gulma,Herbisida,"Padi, Sawit, Karet, Kopi","Pra Tanam, Persiapan Lahan, Pasca Tumbuh Gulma","Gulma Daun Lebar, Gulma Daun Sempit, Rumput Liar, Teki-Tekian","Sawah, Kebun, Perkebunan, Lahan Kosong","Dosis semprot:
10 – 20 ml per liter air

Dosis lapangan:
4 – 8 liter per hektar

Volume air:
200 – 400 liter per hektar

Gulma ringan:
4 liter per hektar

Gulma sedang:
6 liter per hektar

Gulma lebat:
8 liter per hektar","obat gulma,
obat rumput liar,
obat rumput sampai akar,
herbisida sistemik,
pembasmi gulma,
racun rumput,
obat teki,
obat teki-tekian,
obat rumput sawah,
obat rumput kebun,
membersihkan lahan,
persiapan lahan,
obat gulma sawit,
obat gulma kopi,
obat gulma karet,
sistem tanpa olah tanah,
TOT,
gulma daun lebar,
gulma daun sempit,
rumput bandel","Sidafos 480 SL merupakan herbisida sistemik berbahan aktif glifosat 480 g/L yang digunakan untuk membasmi gulma hingga ke akar.

Produk ini efektif digunakan untuk mengendalikan gulma daun lebar, gulma daun sempit, rumput liar, dan teki-tekian pada lahan sawah maupun perkebunan.

Cocok digunakan untuk persiapan lahan, sistem tanpa olah tanah, pengendalian gulma pada perkebunan sawit, kopi, karet, dan lahan pertanian lainnya.

Gejala yang dapat ditangani antara lain rumput liar yang tumbuh berlebihan, gulma yang sulit dikendalikan, teki-tekian yang menyebar luas, dan kebutuhan pembersihan lahan sebelum tanam.

Sidafos 480 SL bekerja secara sistemik dengan cara diserap daun dan diteruskan ke seluruh jaringan hingga akar sehingga gulma mati secara menyeluruh dan tidak mudah tumbuh kembali.",Rp.80.000,15,03/05/2026 23:19:48
8,Anthracol 70 WP + Zinc,Fungisida,"Cabai, Tomat, Padi, Jagung, Kentang, Ketimun, Semangka, Bawang Merah, Bawang Putih, Kedelai, Kacang Panjang, Anggrek, Krisan, Aglaonema, Tanaman Hias","Vegetatif, Generatif, Pencegahan Penyakit","Bercak Daun, Busuk Daun, Busuk Akar, Busuk Batang, Busuk Hitam, Karat Daun, Busuk Kaki, Penyakit Jamur","Sawah, Kebun, Lahan Terbuka, Pot, Polybag","Dosis disesuaikan dengan jenis tanaman dan umur tanaman sesuai petunjuk kemasan.

Cara aplikasi:
- Larutkan Anthracol 70 WP ke dalam air hingga tercampur merata.
- Semprotkan ke seluruh bagian tanaman menggunakan sprayer.
- Tambahkan perekat atau pembasah apabila diperlukan.
- Aplikasi dilakukan sejak gejala awal atau sebagai pencegahan penyakit.

Waktu aplikasi:
- Pagi hari atau sore hari.
- Dapat digunakan pada musim hujan maupun musim kemarau.
- Interval aplikasi menyesuaikan tingkat serangan penyakit.","fungisida bercak daun,
obat bercak daun,
fungisida busuk daun,
obat busuk daun,
fungisida busuk akar,
obat busuk akar,
fungisida busuk batang,
obat busuk batang,
fungisida busuk hitam,
obat busuk hitam,
fungisida karat daun,
obat karat daun,
fungisida tanaman hias,
obat jamur tanaman hias,
fungisida anggrek,
fungisida krisan,
fungisida aglaonema,
obat daun menguning,
obat daun bercak coklat,
obat jamur tanaman,
fungisida preventif,
fungisida kontak,
fungisida protektif,
fungisida musim hujan","Anthracol 70 WP merupakan fungisida kontak berbahan aktif propineb 70 persen yang digunakan untuk mencegah dan mengendalikan berbagai penyakit jamur pada tanaman pangan, hortikultura, perkebunan, tanaman buah, dan tanaman hias.
Produk ini efektif digunakan sebagai fungisida bercak daun, fungisida busuk daun, fungisida busuk akar, fungisida busuk batang, fungisida busuk hitam, fungisida karat daun, dan pengendali berbagai penyakit akibat jamur.
Dapat digunakan pada tanaman cabai, tomat, padi, jagung, kentang, ketimun, semangka, bawang merah, bawang putih, kedelai, kacang panjang, anggrek, krisan, aglaonema, dan tanaman hias lainnya.
Gejala yang dapat dikendalikan antara lain daun bercak coklat, daun menguning akibat jamur, busuk batang, busuk akar, karat daun, busuk hitam, dan berbagai penyakit cendawan.
Anthracol 70 WP juga mengandung unsur hara zinc yang membantu menjaga kesehatan tanaman dan mendukung pertumbuhan yang optimal.",Rp.70.000,20,18/04/2026 22:31:16
9,Acrobat 50 WP,Fungisida,"Tomat, Cabai, Kentang, Tembakau, Semangka, Jagung","Vegetatif, Generatif","Busuk Daun, Bercak Daun, Lanas, Embun Bulu, Bulai","Sawah, Kebun, Lahan Terbuka","Tomat:
Busuk daun → 0.5 – 1 g/L air
Cabai:
Bercak daun → 2 – 4 g/L air
Kentang:
Busuk daun → 0.5 – 0.625 g/L air
Tembakau:
Lanas → 1 – 1.25 g/L air
Semangka:
Embun bulu → 0.25 – 0.5 g/L air
Jagung:
Bulai → 1.25 – 2.5 g/kg benih

Waktu aplikasi:
- Umur tanaman 21–70 HST
- Dilakukan saat ditemukan gejala penyakit
- Kelembaban di atas 90 persen
- Interval penyemprotan 7–14 hari","fungisida busuk daun,
obat busuk daun,
fungisida bulai,
obat bulai jagung,
fungisida embun bulu,
obat embun bulu,
fungisida bercak daun,
obat bercak daun cabai,
fungisida lanas,
obat lanas tembakau,
fungisida phytophthora,
obat phytophthora,
fungisida jamur tanaman,
obat daun membusuk,
obat daun menghitam,
fungisida sistemik,
fungisida tomat,
fungisida kentang,
fungisida jagung,
pengendali penyakit jamur","Acrobat 50 WP merupakan fungisida sistemik berbahan aktif dimetomorf 50 persen yang digunakan untuk mengendalikan berbagai penyakit jamur dan cendawan pada tanaman hortikultura dan tanaman pangan.
Produk ini efektif digunakan sebagai fungisida busuk daun, fungisida bercak daun, fungisida embun bulu, fungisida bulai jagung, dan fungisida lanas tembakau.
Dapat digunakan pada tanaman tomat, cabai, kentang, semangka, jagung, dan tembakau.
Gejala yang dapat dikendalikan antara lain daun membusuk, bercak daun, daun menghitam, busuk daun, embun bulu, penyakit bulai, dan penyakit akibat infeksi jamur phytophthora.
Acrobat 50 WP bekerja secara sistemik lokal sehingga mampu menghentikan perkembangan jamur pada jaringan tanaman dan melindungi pertumbuhan tanaman yang sehat.",Rp.15.000,5,18/04/2026 22:37:26
10,Fungisida Daconil 75WP Solusi Ampuh Basmi Jamur dan Penyakit Tanaman,Fungisida,"Bawang Merah, Cabai, Tomat, Kentang, Kacang-kacangan","Vegetatif, Generatif, Pencegahan Penyakit","Embun Bulu, Bercak Daun, Busuk Daun, Antraknosa, Patek, Busuk Buah, Karat Daun, Bercak Ungu","Sawah, Kebun, Lahan Terbuka","Dosis umum:
1.5 – 2 gram per liter air

Cara aplikasi:
- Semprotkan merata ke seluruh bagian tanaman.
- Fokus pada bagian bawah daun yang rentan infeksi jamur.
- Aplikasi dilakukan pagi atau sore hari.

Interval:
7 – 10 hari sekali

Pada musim hujan atau tingkat serangan tinggi:
Interval dapat diperpendek sesuai kondisi lapangan.","fungisida patek,
obat patek cabai,
fungisida antraknosa,
obat antraknosa,
fungisida busuk buah,
obat busuk buah,
fungisida busuk daun,
obat busuk daun,
fungisida embun bulu,
obat embun bulu,
fungisida bercak daun,
obat bercak daun,
fungisida bercak ungu,
obat bercak ungu bawang,
fungisida karat daun,
obat karat daun,
fungisida musim hujan,
obat jamur tanaman,
fungisida kontak,
fungisida protektif,
pengendali penyakit jamur","Daconil 75 WP merupakan fungisida kontak berbahan aktif klorotalonil 75 persen yang digunakan untuk mencegah dan mengendalikan berbagai penyakit jamur pada tanaman hortikultura dan tanaman pangan.

Produk ini efektif digunakan sebagai fungisida patek, fungisida antraknosa, fungisida busuk buah, fungisida busuk daun, fungisida embun bulu, fungisida bercak daun, fungisida bercak ungu, dan fungisida karat daun.

Dapat digunakan pada tanaman cabai, tomat, kentang, bawang merah, dan berbagai jenis kacang-kacangan.

Gejala yang dapat dikendalikan antara lain patek pada cabai, busuk buah, daun bercak coklat, embun bulu, bercak ungu bawang merah, karat daun, dan berbagai penyakit akibat infeksi jamur.

Daconil 75 WP bekerja secara protektif sebagai pelindung tanaman sehingga sangat cocok digunakan untuk pencegahan penyakit terutama pada musim hujan dan kondisi kelembaban tinggi.",Rp105.000,10,03/05/2026 20:46:43
